timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
25.86948,-1.353727,0.04626466,-0.01355806,0.002349418,-0.006164709,-0.004879603
25.91296,-0.018207,0.0006775329,-0.03583039,-0.00328476,-0.003187101,-0.004533344
25.91296,-1.875144,-0.002278556,-0.005608169,0.004320771,0.00420132,0.001498366
25.95644,-0.0292963,-0.0149365,-0.005380896,0.001392383,0.009456279,-0.003039557
25.95644,-1.068592,-0.006685524,0.02713805,0.003498088,0.003558277,0.001611702
25.99992,0.004331357,0.01666363,-0.02066404,0.002258169,0.004191453,0.007155791
25.99992,-0.609201,0.02031851,0.0111541,-0.003829628,0.008387035,-0.0006120561
26.0434,0.004413229,0.01995328,0.005808461,-0.002707654,-0.009301484,0.00160832
26.0434,-0.3995384,0.04075457,0.01846297,0.004971303,-0.004490744,0.005773633
26.08687,0.005652249,-0.01404616,-0.008251984,-0.008424378,0.005456991,0.003919562
26.08687,-0.08339778,-0.02558581,0.0242964,0.0005328471,-0.007345532,0.006427854
26.13035,0.04190456,0.009845471,0.003910154,0.004040772,0.00511219,-0.0001304396
26.13035,0.2321177,-0.01806676,-0.002354618,-7.749069E-05,0.005960403,-0.00494584
26.17383,-0.02104655,-0.03758194,0.006722099,-0.01039412,-0.002902897,-0.009591431
26.17383,1.085242,0.0243509,-0.001444096,-0.0007716554,0.002251631,0.003930743
26.21731,0.003916139,-0.04608335,0.0227694,-0.003830273,-0.005996748,-0.002412512
26.21731,0.686232,-0.008222197,0.00856914,-0.007598988,0.004766145,0.00480157
26.26079,0.0317683,0.02618443,-0.0007459681,0.0060558,-0.008241478,0.004399685
26.26079,1.139204,0.007233578,-0.01396155,0.00122204,0.005421029,-0.005629601
26.30426,0.01224565,0.003182852,-0.01326591,0.001520929,-0.003032096,-0.004181445
26.30426,1.285926,0.02664612,-0.003839449,0.001740861,0.005778424,-0.002064771
26.34774,-0.008190986,-0.01625036,0.01616077,0.005426265,-0.002260264,0.004531721
26.34774,3.341991,0.02835458,0.01423766,0.01073564,0.003576941,0.004395064
26.39122,-0.009752292,-0.002053107,-0.02241164,-0.004907255,-0.009299065,0.004511981
26.39122,1.512898,0.03459846,0.01689218,-0.009207328,0.006776111,-0.002140205
26.4347,0.0387948,-0.01364609,0.01073427,-0.001269085,0.003308492,-0.0118794
26.4347,2.054704,0.0009186037,-0.004832657,-0.01106597,0.0007715201,0.003538855
26.47818,0.01684389,-0.01423283,0.01561503,0.003529215,0.007101043,0.007782864
26.47818,2.564942,-0.01746548,0.009112846,0.00792492,-0.0044048,0.002579833
26.52165,-0.02116126,0.02740942,-0.005777057,-0.002493265,0.006127541,0.001581052
26.52165,2.920348,-0.01480556,0.01652078,-0.0003115705,-0.0008747862,-0.002093666
26.56513,0.006463915,-0.004262589,0.02392958,-0.002457303,-0.002856958,-0.006606662
26.56513,3.78003,0.01264417,-0.003500699,-0.01193415,0.005398746,0.006130663
26.60861,-0.0002811567,0.001467965,0.03340891,0.009097657,0.004095247,0.003922155
26.60861,3.929852,-0.01182093,-0.002705955,-0.007178395,-0.001184372,-0.006145314
26.65209,-0.04400118,0.02103668,-0.01918598,0.00437858,0.006802605,0.001785515
26.65209,2.879946,0.02515896,-0.009068904,0.001152602,-0.004609948,0.002262705
26.69557,-0.006508996,-0.03409084,-0.006618273,0.002288607,0.0008360847,-0.006547822
26.69557,3.59283,0.0195139,0.005169514,-0.003640517,0.003967742,0.01311686
26.73904,0.0115043,0.02331115,-0.02678948,0.004007037,-0.003428659,0.004229272
26.73904,2.887244,-0.02086612,-0.01264364,-0.008213861,0.005456746,-0.006283301
26.78252,-0.01030951,-0.0142635,0.01821474,-0.0007525748,-0.0006795491,0.01396497
26.78252,4.634189,0.006045392,0.004919873,0.005818283,-0.00651178,0.007136566
26.826,0.01083479,-0.01096923,0.02921958,0.008118528,-0.002396492,0.0129279
26.826,6.310851,-0.009750851,0.01635286,-0.0002137859,0.0009693037,0.001810018
26.86948,0.003761155,-0.0309025,0.001404053,0.00440204,0.004513526,-0.001208101
26.86948,0.9209002,0.006912463,0.02708443,-0.003839708,0.002172545,0.0009404485
26.91296,-0.01453683,-0.02847717,-0.0530621,-0.001742165,0.003001918,0.006213602
26.91296,3.880493,-0.004829366,0.001215062,0.001203538,-0.0004777669,0.005967688
26.95643,0.02908415,0.009464985,-0.01772857,-0.01456788,0.007597429,-0.0005372958
26.95643,4.855908,-0.01443903,0.04055704,-0.00241553,-0.002017461,0.008857682
26.99991,0.01805112,0.03539197,0.009985944,-0.003274266,0.001116086,-0.004933486
26.99991,5.91681,-0.01945322,0.03351014,0.0003881504,0.009831241,0.007807192
27.04339,-0.01099774,0.009280285,0.01384428,0.0004878825,-0.003413165,0.001116822
27.04339,0.7556558,-0.03736626,0.001262864,-0.008189422,-0.001323912,0.003997416
27.08687,0.0108282,-0.01891627,-0.0113601,0.007478495,-0.002518654,0.001828097
27.08687,3.536851,-0.029572,0.02732169,0.0009708218,0.009139039,-0.005216111
27.13035,0.01452568,0.02193751,0.006882653,-0.01681601,0.0009637522,0.002340948
27.13035,6.067163,-0.005029388,-0.02662956,-0.004988953,-0.003002636,0.003818298
27.17382,-0.006449484,-0.007584587,-0.006388997,-0.004658695,0.002524182,-0.006850888
27.17382,-5.685855,0.01909947,-0.2279703,0.007715114,0.004542696,-0.002491685
27.2173,-0.00506423,-0.01442868,0.02773954,-0.008759461,0.001397607,0.008075364
27.2173,9.847443,0.01487654,0.2198167,0.004501599,0.00615939,0.002373579
27.26078,0.006282893,0.0056302,-0.01539678,-0.005311472,0.003894949,-0.007119416
27.26078,3.763169,-0.005879665,-0.02499716,-0.007022855,-0.007995946,0.005633987
27.30426,-0.02005891,-0.004028667,-0.01204921,0.005054336,0.003438649,-0.002549699
27.30426,3.312603,0.01484022,-0.0149586,-0.006140465,-0.003400106,-0.01375903
27.34774,-0.01389409,-0.02791174,-0.003343787,0.004469311,-0.001123312,-0.003539225
27.34774,2.192116,0.03772047,0.0002999917,0.006493933,0.006404409,0.002488499
