predicted_velocity,real_velocity,measured_velocity,predicted_error,measured_error,accepted_rays
3.942412,3.917799,45.43254,0.628239,1059.645,112
3.932415,3.907869,3.917672,0.6281027,0.2508543,111
3.922445,3.897965,3.9082,0.6280227,0.2625809,111
3.912498,3.888085,3.897671,0.6278894,0.2465567,111
3.902577,3.878229,3.88813,0.6278067,0.2552858,111
3.892683,3.868399,3.878597,0.6277627,0.2636448,111
3.882813,3.858593,3.86809,0.6277083,0.2461427,111
3.872977,3.848811,3.858549,0.6278974,0.2530124,111
3.86317,3.839054,3.849059,0.6281828,0.2606234,111
3.853381,3.829321,3.839501,0.6283163,0.2658434,111
3.843616,3.819613,3.828946,0.6284153,0.2443601,111
3.833863,3.809929,3.819543,0.6282166,0.2523404,111
3.824131,3.800269,3.809886,0.6278936,0.2530571,111
3.814439,3.790633,3.800435,0.6280117,0.2585812,111
3.804775,3.781022,3.790868,0.6282209,0.2604177,111
3.795128,3.771434,3.781297,0.6282501,0.2615159,111
3.785504,3.76187,3.771687,0.6282502,0.2609576,111
3.775913,3.752331,3.762348,0.6284686,0.2669646,111
3.766343,3.742815,3.752661,0.6286077,0.2630633,111
3.756789,3.733323,3.743163,0.6285711,0.2635725,111
3.747265,3.723855,3.733656,0.6286519,0.2632118,111
3.737763,3.71441,3.724077,0.6287291,0.2602481,111
3.728284,3.704989,3.714596,0.6287642,0.2593011,111
3.718821,3.869383,3.704986,3.891112,4.248674,111
3.709383,3.85955,3.695479,3.890778,4.251029,111
3.786869,3.849741,3.859537,1.633147,0.2544624,111
3.864151,3.839956,3.849957,0.6300904,0.2604442,111
3.854332,3.830196,3.839574,0.6301522,0.2448489,111
3.844524,3.82046,3.829891,0.6298609,0.2468583,111
3.834748,3.810749,3.820475,0.6297581,0.2552267,111
3.824993,3.801062,3.810805,0.6295879,0.2563287,111
3.815258,3.791399,3.80144,0.6292934,0.2648425,111
3.80556,3.78176,46.46433,0.6293212,1128.643,111
3.795883,3.772146,3.781358,0.6292883,0.2442116,110
3.786233,3.762555,3.771708,0.6293145,0.243269,110
3.776615,3.752988,3.76228,0.6295337,0.2475737,110
3.767014,3.743446,3.752695,0.6295781,0.2470902,110
3.757436,3.733927,3.74318,0.6295996,0.2478159,110
3.747888,3.724432,3.733622,0.6298028,0.2467513,110
3.738355,3.714961,3.724111,0.6297462,0.246315,110
3.72884,3.705513,3.714592,0.6295116,0.2449999,110
3.719358,3.696089,3.706013,0.6295686,0.2684983,110
3.709912,3.686689,3.696377,0.6299192,0.2627805,110
3.700489,3.677312,3.6869,0.6302742,0.2607535,110
3.691077,3.667958,3.677368,0.6302954,0.2565369,110
3.681684,3.658628,3.667879,0.6301694,0.2528445,110
3.672322,3.649322,3.658251,0.6302738,0.2446956,110
3.662978,3.640038,3.649724,0.630211,0.266109,110
3.653651,3.630778,3.640231,0.6299995,0.2603722,110
3.644364,3.621541,3.630538,0.6302041,0.2484489,110
3.635106,3.612326,3.621149,0.6305971,0.2442316,110
3.625863,3.603135,3.61254,0.630783,0.2610066,110
3.61664,3.593967,3.602994,0.6308597,0.2511776,110
3.607442,3.584822,3.594359,0.630986,0.2660378,110
3.598256,3.5757,3.584883,0.6308221,0.2568282,110
3.589086,3.5666,3.575312,0.6304461,0.2442543,110
3.579947,3.557523,3.566725,0.6303256,0.2586364,110
3.570833,3.710402,3.557205,3.761555,4.128841,110
3.561747,3.700941,3.548665,3.761056,4.114522,110
3.633656,3.691505,3.701214,1.567089,0.2630255,110
3.705369,3.682092,3.691617,0.6321755,0.2586861,110
3.695933,3.672702,3.682123,0.6325129,0.2565171,110
3.686527,3.663336,3.672656,0.6330432,0.2544069,110
